member_name,profile_url,activity_tags,directory_page,source_file,extraction_status
KBC Bc West Vlaanderen Bedrijvencentrum,https://www.apzi.be/en/leden/kbc-bc-west-vlaanderen-bedrijvencentrum-2793,General Support; Bank,7,APZI_members_page_7.json,firecrawl_directory_card
Keolis,https://www.apzi.be/en/leden/keolis-2794,"General Support; Transport (Road, Rail, Inland Shipping)",7,APZI_members_page_7.json,firecrawl_directory_card
Konvert HR NV,https://www.apzi.be/en/leden/konvert-hr-nv-24425,HR-solutions,8,APZI_members_page_8.json,firecrawl_directory_card
Kranenverhuur Verheye Danny Bv,https://www.apzi.be/en/leden/kranenverhuur-verheye-danny-bv-2795,Dredging & Port Works; Ship Suppliers,8,APZI_members_page_8.json,firecrawl_directory_card
Lalemant,https://www.apzi.be/en/leden/lalemant-2796,Freight Forwarding; Warehousing; Ship Agencies,8,APZI_members_page_8.json,firecrawl_directory_card
Leeward,https://www.apzi.be/en/leden/leeward-2797,General Support,8,APZI_members_page_8.json,firecrawl_directory_card
Lineas NV,https://www.apzi.be/en/leden/lineas-nv-2798,"Transport (Road, Rail, Inland Shipping)",8,APZI_members_page_8.json,firecrawl_directory_card
Luxor One Bv,https://www.apzi.be/en/leden/luxor-one-bv-24628,Security & equipment; Consultancy; Drone-solutions; Expertise & Survey; Innovation & sustainability; IT; Studiebureau,8,APZI_members_page_8.json,firecrawl_directory_card
Maaskade Bevrachters Belgium,https://www.apzi.be/en/leden/maaskade-bevrachters-belgium-2799,"Transport (Road, Rail, Inland Shipping)",8,APZI_members_page_8.json,firecrawl_directory_card
Mammoet Ferry Transport,https://www.apzi.be/en/leden/mammoet-ferry-transport-2800,"Transport (Road, Rail, Inland Shipping)",8,APZI_members_page_8.json,firecrawl_directory_card
Marpos,https://www.apzi.be/en/leden/marpos-2801,Ship Suppliers,8,APZI_members_page_8.json,firecrawl_directory_card
Mcw Industriele Wegmarkeringen,https://www.apzi.be/en/leden/mcw-industriele-wegmarkeringen-9864,Terminal Operator,8,APZI_members_page_8.json,firecrawl_directory_card
Melis Advocaten,https://www.apzi.be/en/leden/melis-advocaten-2803,General Support,8,APZI_members_page_8.json,firecrawl_directory_card
Meyland,https://www.apzi.be/en/leden/meyland-2804,,9,APZI_members_page_9.json,firecrawl_directory_card
Middlegate Europe,https://www.apzi.be/en/leden/middlegate-europe-2805,"Freight Forwarding; Terminal Operators; Logistics; Warehousing; Transport (Road, Rail, Inland Shipping)",9,APZI_members_page_9.json,firecrawl_directory_card
Minne Port Agencies,https://www.apzi.be/en/leden/minne-port-agencies-2806,Terminal Operators; Ship Agencies,9,APZI_members_page_9.json,firecrawl_directory_card
Newman Shipping Agency Cy,https://www.apzi.be/en/leden/newman-shipping-agency-cy-2814,Freight Forwarding; Ship Agencies,10,APZI_members_page_10.json,firecrawl_directory_card
Nieuwpoortse Handelsmaatschappij Nhm NV,https://www.apzi.be/en/leden/nieuwpoortse-handelsmaatschappij-nhm-nv-2815,Dredging & Port Works; Shipper/Manufacturer,10,APZI_members_page_10.json,firecrawl_directory_card
Noordzee Drones,https://www.apzi.be/en/leden/noordzee-drones-2816,General Support; Offshore; Employment & Training,10,APZI_members_page_10.json,firecrawl_directory_card
North Sea Tankstorage Nsts Bv,https://www.apzi.be/en/leden/north-sea-tankstorage-nsts-bv-11266,Shipper/Manufacturer,10,APZI_members_page_10.json,firecrawl_directory_card
Ntex Belgium Bv,https://www.apzi.be/en/leden/ntex-belgium-bv-2818,"Chartering; Logistics; Transport (Road, Rail, Inland Shipping)",10,APZI_members_page_10.json,firecrawl_directory_card
NYK Group Europe,https://www.apzi.be/en/leden/nyk-group-europe-2819,Shipping Companies,10,APZI_members_page_10.json,firecrawl_directory_card
Ocean Gate Logistics,https://www.apzi.be/en/leden/ocean-gate-logistics-2821,Freight Forwarding,10,APZI_members_page_10.json,firecrawl_directory_card
Ocz Opleidingscentrum Zeebrugge,https://www.apzi.be/en/leden/ocz-opleidingscentrum-zeebrugge-786,Employment & Training,10,APZI_members_page_10.json,firecrawl_directory_card
P O Ferries,https://www.apzi.be/en/leden/p-o-ferries-2822,Terminal Operators; Shipping Companies; Ship Agencies,10,APZI_members_page_10.json,firecrawl_directory_card
Pittman Seafoods,https://www.apzi.be/en/leden/pittman-seafoods-2824,,10,APZI_members_page_10.json,firecrawl_directory_card
Port,https://www.apzi.be/en/leden/port-2825,General Support,10,APZI_members_page_10.json,firecrawl_directory_card
Portalis Logistics,https://www.apzi.be/en/leden/portalis-logistics-11972,Customs agencies; Freight Forwarding,10,APZI_members_page_10.json,firecrawl_directory_card
Pricewaterhousecoopers Belgium,https://www.apzi.be/en/leden/pricewaterhousecoopers-belgium-2828,General Support,11,APZI_members_page_11.json,firecrawl_directory_card
Psa Zeebrugge,https://www.apzi.be/en/leden/psa-zeebrugge-2829,Terminal Operators,11,APZI_members_page_11.json,firecrawl_directory_card
Qcl,https://www.apzi.be/en/leden/qcl-2830,"Transport (Road, Rail, Inland Shipping)",11,APZI_members_page_11.json,firecrawl_directory_card
